exception_id,payment_id,customer_id,account_id,exception_timestamp,exception_date,exception_type,exception_reason_code,exception_reason_description,severity,exception_status,assigned_team,assigned_analyst_id,resolution_status,resolution_code,resolved_timestamp,sla_due_timestamp,high_value_flag,requires_manual_review
EXC_SYN_0000012,PAY_SYN_0013336,CUST_SYN_000433,ACCT_SYN_001433,2026-03-01T17:43:00,2026-03-01,LIQUIDITY,R002,Insufficient synthetic available funds,HIGH,OPEN,TEAM_SYN_003,USER_SYN_003_A01,UNRESOLVED,,,2026-03-01T21:43:00,FALSE,TRUE
EXC_SYN_0000013,PAY_SYN_0005698,CUST_SYN_000827,ACCT_SYN_000827,2025-12-01T19:50:00,2025-12-01,ROUTING,R003,Beneficiary routing information requires correction,MEDIUM,RESOLVED,TEAM_SYN_004,USER_SYN_004_A02,RESOLVED,SYN_RESOLVED,2025-12-01T21:50:00,2025-12-02T03:50:00,TRUE,TRUE
EXC_SYN_0000014,PAY_SYN_0003088,CUST_SYN_000257,ACCT_SYN_000257,2026-01-26T19:33:00,2026-01-26,CUTOFF,R004,Payment missed the processing cutoff,LOW,RESOLVED,TEAM_SYN_005,USER_SYN_005_A03,RESOLVED,SYN_RESOLVED,2026-01-27T04:17:00,2026-01-27T03:33:00,FALSE,FALSE
EXC_SYN_0000015,PAY_SYN_0007610,CUST_SYN_000071,ACCT_SYN_001071,2026-02-23T12:20:00,2026-02-23,SANCTIONS_SCREENING,R005,Synthetic screening review pending,HIGH,RESOLVED,TEAM_SYN_001,USER_SYN_001_A04,RESOLVED,SYN_RESOLVED,2026-02-23T13:20:00,2026-02-23T16:20:00,FALSE,TRUE
EXC_SYN_0000016,PAY_SYN_0005596,CUST_SYN_000053,ACCT_SYN_000053,2026-02-28T18:35:00,2026-02-28,DUPLICATE,R006,Potential duplicate payment instruction,HIGH,OPEN,TEAM_SYN_002,USER_SYN_002_A01,UNRESOLVED,,,2026-02-28T22:35:00,TRUE,TRUE
EXC_SYN_0000017,PAY_SYN_0007294,CUST_SYN_000379,ACCT_SYN_001379,2025-11-28T16:54:00,2025-11-28,SYSTEM,R007,Processing system unavailable,MEDIUM,RESOLVED,TEAM_SYN_003,USER_SYN_003_A02,RESOLVED,SYN_RESOLVED,2025-11-28T19:54:00,2025-11-29T00:54:00,FALSE,FALSE
EXC_SYN_0000018,PAY_SYN_0005900,CUST_SYN_000801,ACCT_SYN_000801,2026-01-26T12:29:00,2026-01-26,AUTHORIZATION,R008,Required payment authorization incomplete,HIGH,RESOLVED,TEAM_SYN_004,USER_SYN_004_A03,RESOLVED,SYN_RESOLVED,2026-01-26T13:29:00,2026-01-26T16:29:00,FALSE,TRUE
EXC_SYN_0000019,PAY_SYN_0019351,CUST_SYN_000488,ACCT_SYN_000488,2025-12-24T13:59:00,2025-12-24,BENEFICIARY,R009,Beneficiary details require review,MEDIUM,RESOLVED,TEAM_SYN_005,USER_SYN_005_A04,RESOLVED,SYN_RESOLVED,2025-12-24T15:59:00,2025-12-24T21:59:00,TRUE,TRUE
EXC_SYN_0000020,PAY_SYN_0018236,CUST_SYN_000233,ACCT_SYN_001233,2026-03-13T19:07:00,2026-03-13,CURRENCY,R010,Currency handling exception,MEDIUM,OPEN,TEAM_SYN_001,USER_SYN_001_A01,UNRESOLVED,,,2026-03-14T03:07:00,TRUE,TRUE
EXC_SYN_0000021,PAY_SYN_0014695,CUST_SYN_000716,ACCT_SYN_000716,2026-01-02T18:13:00,2026-01-02,SETTLEMENT,R011,Settlement confirmation delayed,LOW,RESOLVED,TEAM_SYN_002,USER_SYN_002_A02,RESOLVED,SYN_RESOLVED,2026-01-03T03:04:00,2026-01-03T02:13:00,FALSE,FALSE
EXC_SYN_0000022,PAY_SYN_0021827,CUST_SYN_000600,ACCT_SYN_000600,2026-02-20T20:30:00,2026-02-20,VALIDATION,R001,Payment instruction failed validation,MEDIUM,RESOLVED,TEAM_SYN_003,USER_SYN_003_A03,RESOLVED,SYN_RESOLVED,2026-02-20T22:30:00,2026-02-21T04:30:00,TRUE,TRUE
EXC_SYN_0000023,PAY_SYN_0010278,CUST_SYN_000787,ACCT_SYN_000787,2026-03-05T21:20:00,2026-03-05,LIQUIDITY,R002,Insufficient synthetic available funds,HIGH,RESOLVED,TEAM_SYN_004,USER_SYN_004_A04,RESOLVED,SYN_RESOLVED,2026-03-06T00:20:00,2026-03-06T01:20:00,FALSE,TRUE
EXC_SYN_0000024,PAY_SYN_0021930,CUST_SYN_000411,ACCT_SYN_001411,2025-11-28T13:57:00,2025-11-28,ROUTING,R003,Beneficiary routing information requires correction,MEDIUM,OPEN,TEAM_SYN_005,USER_SYN_005_A01,UNRESOLVED,,,2025-11-28T21:57:00,TRUE,TRUE
EXC_SYN_0000025,PAY_SYN_0001580,CUST_SYN_000461,ACCT_SYN_001461,2026-01-27T14:00:00,2026-01-27,CUTOFF,R004,Payment missed the processing cutoff,LOW,RESOLVED,TEAM_SYN_001,USER_SYN_001_A02,RESOLVED,SYN_RESOLVED,2026-01-27T16:00:00,2026-01-27T22:00:00,TRUE,FALSE
EXC_SYN_0000026,PAY_SYN_0018216,CUST_SYN_000493,ACCT_SYN_000493,2026-03-09T20:05:00,2026-03-09,SANCTIONS_SCREENING,R005,Synthetic screening review pending,HIGH,RESOLVED,TEAM_SYN_002,USER_SYN_002_A03,RESOLVED,SYN_RESOLVED,2026-03-09T23:05:00,2026-03-10T00:05:00,FALSE,TRUE
EXC_SYN_0000027,PAY_SYN_0020965,CUST_SYN_000206,ACCT_SYN_000206,2026-03-01T20:01:00,2026-03-01,DUPLICATE,R006,Potential duplicate payment instruction,HIGH,RESOLVED,TEAM_SYN_003,USER_SYN_003_A04,RESOLVED,SYN_RESOLVED,2026-03-01T21:01:00,2026-03-02T00:01:00,FALSE,TRUE
EXC_SYN_0000028,PAY_SYN_0020263,CUST_SYN_000232,ACCT_SYN_001232,2025-12-31T11:20:00,2025-12-31,SYSTEM,R007,Processing system unavailable,MEDIUM,OPEN,TEAM_SYN_004,USER_SYN_004_A01,UNRESOLVED,,,2025-12-31T19:20:00,FALSE,FALSE
EXC_SYN_0000029,PAY_SYN_0001428,CUST_SYN_000337,ACCT_SYN_000337,2026-01-19T17:08:00,2026-01-19,AUTHORIZATION,R008,Required payment authorization incomplete,HIGH,RESOLVED,TEAM_SYN_005,USER_SYN_005_A02,RESOLVED,SYN_RESOLVED,2026-01-19T20:08:00,2026-01-19T21:08:00,FALSE,TRUE
EXC_SYN_0000030,PAY_SYN_0002013,CUST_SYN_000982,ACCT_SYN_000982,2026-03-11T12:36:00,2026-03-11,LIQUIDITY,R002,Insufficient synthetic available funds,HIGH,RESOLVED,TEAM_SYN_001,USER_SYN_001_A03,RESOLVED,SYN_RESOLVED,2026-03-11T13:36:00,2026-03-11T16:36:00,TRUE,TRUE
EXC_SYN_0000031,PAY_SYN_0004525,CUST_SYN_000926,ACCT_SYN_000926,2026-01-01T14:53:00,2026-01-01,CURRENCY,R010,Currency handling exception,MEDIUM,RESOLVED,TEAM_SYN_002,USER_SYN_002_A04,RESOLVED,SYN_RESOLVED,2026-01-01T16:53:00,2026-01-01T22:53:00,FALSE,TRUE
EXC_SYN_0000032,PAY_SYN_0004416,CUST_SYN_000393,ACCT_SYN_001393,2025-11-29T15:23:00,2025-11-29,SETTLEMENT,R011,Settlement confirmation delayed,LOW,OPEN,TEAM_SYN_003,USER_SYN_003_A01,UNRESOLVED,,,2025-11-29T23:23:00,TRUE,FALSE
EXC_SYN_0000033,PAY_SYN_0002099,CUST_SYN_000164,ACCT_SYN_001164,2026-02-28T19:17:00,2026-02-28,VALIDATION,R001,Payment instruction failed validation,MEDIUM,RESOLVED,TEAM_SYN_004,USER_SYN_004_A02,RESOLVED,SYN_RESOLVED,2026-02-28T20:17:00,2026-03-01T03:17:00,FALSE,TRUE
EXC_SYN_0000034,PAY_SYN_0011747,CUST_SYN_000140,ACCT_SYN_001140,2026-01-20T17:06:00,2026-01-20,LIQUIDITY,R002,Insufficient synthetic available funds,HIGH,RESOLVED,TEAM_SYN_005,USER_SYN_005_A03,RESOLVED,SYN_RESOLVED,2026-01-20T19:06:00,2026-01-20T21:06:00,TRUE,TRUE
EXC_SYN_0000035,PAY_SYN_0002060,CUST_SYN_000221,ACCT_SYN_001221,2026-01-14T10:10:00,2026-01-14,ROUTING,R003,Beneficiary routing information requires correction,MEDIUM,RESOLVED,TEAM_SYN_001,USER_SYN_001_A04,RESOLVED,SYN_RESOLVED,2026-01-14T19:15:00,2026-01-14T18:10:00,TRUE,TRUE
EXC_SYN_0000036,PAY_SYN_0024045,CUST_SYN_000166,ACCT_SYN_000166,2026-01-22T15:18:00,2026-01-22,CUTOFF,R004,Payment missed the processing cutoff,LOW,OPEN,TEAM_SYN_002,USER_SYN_002_A01,UNRESOLVED,,,2026-01-22T23:18:00,FALSE,FALSE
EXC_SYN_0000037,PAY_SYN_0011874,CUST_SYN_000339,ACCT_SYN_001339,2026-03-13T14:34:00,2026-03-13,SANCTIONS_SCREENING,R005,Synthetic screening review pending,HIGH,RESOLVED,TEAM_SYN_003,USER_SYN_003_A02,RESOLVED,SYN_RESOLVED,2026-03-13T16:34:00,2026-03-13T18:34:00,FALSE,TRUE
EXC_SYN_0000038,PAY_SYN_0018817,CUST_SYN_000230,ACCT_SYN_000230,2025-12-10T17:48:00,2025-12-10,DUPLICATE,R006,Potential duplicate payment instruction,HIGH,RESOLVED,TEAM_SYN_004,USER_SYN_004_A03,RESOLVED,SYN_RESOLVED,2025-12-10T20:48:00,2025-12-10T21:48:00,TRUE,TRUE
EXC_SYN_0000039,PAY_SYN_0002925,CUST_SYN_000226,ACCT_SYN_000226,2026-03-03T15:57:00,2026-03-03,SYSTEM,R007,Processing system unavailable,MEDIUM,RESOLVED,TEAM_SYN_005,USER_SYN_005_A04,RESOLVED,SYN_RESOLVED,2026-03-03T16:57:00,2026-03-03T23:57:00,FALSE,FALSE
EXC_SYN_0000040,PAY_SYN_0007167,CUST_SYN_000180,ACCT_SYN_001180,2025-11-24T18:04:00,2025-11-24,AUTHORIZATION,R008,Required payment authorization incomplete,HIGH,OPEN,TEAM_SYN_001,USER_SYN_001_A01,UNRESOLVED,,,2025-11-24T22:04:00,FALSE,TRUE
EXC_SYN_0000041,PAY_SYN_0002729,CUST_SYN_000474,ACCT_SYN_000474,2025-11-28T20:31:00,2025-11-28,BENEFICIARY,R009,Beneficiary details require review,MEDIUM,RESOLVED,TEAM_SYN_002,USER_SYN_002_A02,RESOLVED,SYN_RESOLVED,2025-11-28T23:31:00,2025-11-29T04:31:00,TRUE,TRUE
EXC_SYN_0000042,PAY_SYN_0024040,CUST_SYN_000481,ACCT_SYN_001481,2026-03-14T12:01:00,2026-03-14,LIQUIDITY,R002,Insufficient synthetic available funds,HIGH,RESOLVED,TEAM_SYN_003,USER_SYN_003_A03,RESOLVED,SYN_RESOLVED,2026-03-14T17:13:00,2026-03-14T16:01:00,TRUE,TRUE
EXC_SYN_0000043,PAY_SYN_0024074,CUST_SYN_000239,ACCT_SYN_001239,2025-12-03T16:12:00,2025-12-03,SETTLEMENT,R011,Settlement confirmation delayed,LOW,RESOLVED,TEAM_SYN_004,USER_SYN_004_A04,RESOLVED,SYN_RESOLVED,2025-12-03T18:12:00,2025-12-04T00:12:00,FALSE,FALSE
EXC_SYN_0000044,PAY_SYN_0004157,CUST_SYN_000810,ACCT_SYN_000810,2025-12-10T19:46:00,2025-12-10,VALIDATION,R001,Payment instruction failed validation,MEDIUM,OPEN,TEAM_SYN_005,USER_SYN_005_A01,UNRESOLVED,,,2025-12-11T03:46:00,TRUE,TRUE
EXC_SYN_0000045,PAY_SYN_0023581,CUST_SYN_000998,ACCT_SYN_000998,2026-03-15T13:07:00,2026-03-15,SYSTEM,R007,Processing system unavailable,MEDIUM,RESOLVED,TEAM_SYN_001,USER_SYN_001_A02,RESOLVED,SYN_RESOLVED,2026-03-15T14:07:00,2026-03-15T21:07:00,TRUE,FALSE
EXC_SYN_0000046,PAY_SYN_0013774,CUST_SYN_000139,ACCT_SYN_001139,2026-01-09T17:11:00,2026-01-09,ROUTING,R003,Beneficiary routing information requires correction,MEDIUM,RESOLVED,TEAM_SYN_002,USER_SYN_002_A03,RESOLVED,SYN_RESOLVED,2026-01-09T19:11:00,2026-01-10T01:11:00,TRUE,TRUE
EXC_SYN_0000047,PAY_SYN_0011898,CUST_SYN_000727,ACCT_SYN_000727,2026-01-12T20:32:00,2026-01-12,CUTOFF,R004,Payment missed the processing cutoff,LOW,RESOLVED,TEAM_SYN_003,USER_SYN_003_A04,RESOLVED,SYN_RESOLVED,2026-01-12T23:32:00,2026-01-13T04:32:00,FALSE,FALSE
EXC_SYN_0000048,PAY_SYN_0013804,CUST_SYN_000749,ACCT_SYN_000749,2026-02-09T17:07:00,2026-02-09,SANCTIONS_SCREENING,R005,Synthetic screening review pending,HIGH,OPEN,TEAM_SYN_004,USER_SYN_004_A01,UNRESOLVED,,,2026-02-09T21:07:00,TRUE,TRUE
EXC_SYN_0000049,PAY_SYN_0023910,CUST_SYN_000171,ACCT_SYN_001171,2025-11-23T13:22:00,2025-11-23,DUPLICATE,R006,Potential duplicate payment instruction,HIGH,RESOLVED,TEAM_SYN_005,USER_SYN_005_A02,RESOLVED,SYN_RESOLVED,2025-11-23T18:41:00,2025-11-23T17:22:00,FALSE,TRUE
EXC_SYN_0000050,PAY_SYN_0018381,CUST_SYN_000598,ACCT_SYN_000598,2026-03-10T14:32:00,2026-03-10,SYSTEM,R007,Processing system unavailable,MEDIUM,RESOLVED,TEAM_SYN_001,USER_SYN_001_A03,RESOLVED,SYN_RESOLVED,2026-03-10T17:32:00,2026-03-10T22:32:00,TRUE,FALSE
EXC_SYN_0000051,PAY_SYN_0007408,CUST_SYN_000097,ACCT_SYN_001097,2026-03-10T21:34:00,2026-03-10,LIQUIDITY,R002,Insufficient synthetic available funds,HIGH,RESOLVED,TEAM_SYN_002,USER_SYN_002_A04,RESOLVED,SYN_RESOLVED,2026-03-10T22:34:00,2026-03-11T01:34:00,TRUE,TRUE
EXC_SYN_0000052,PAY_SYN_0004330,CUST_SYN_000211,ACCT_SYN_001211,2026-01-07T13:41:00,2026-01-07,BENEFICIARY,R009,Beneficiary details require review,MEDIUM,OPEN,TEAM_SYN_003,USER_SYN_003_A01,UNRESOLVED,,,2026-01-07T21:41:00,TRUE,TRUE
EXC_SYN_0000053,PAY_SYN_0014775,CUST_SYN_000676,ACCT_SYN_000676,2025-12-19T19:29:00,2025-12-19,CURRENCY,R010,Currency handling exception,MEDIUM,RESOLVED,TEAM_SYN_004,USER_SYN_004_A02,RESOLVED,SYN_RESOLVED,2025-12-19T22:29:00,2025-12-20T03:29:00,TRUE,TRUE
EXC_SYN_0000054,PAY_SYN_0007805,CUST_SYN_000786,ACCT_SYN_000786,2025-12-05T19:32:00,2025-12-05,SETTLEMENT,R011,Settlement confirmation delayed,LOW,RESOLVED,TEAM_SYN_005,USER_SYN_005_A03,RESOLVED,SYN_RESOLVED,2025-12-05T20:32:00,2025-12-06T03:32:00,FALSE,FALSE
EXC_SYN_0000055,PAY_SYN_0012455,CUST_SYN_000336,ACCT_SYN_000336,2026-03-14T19:15:00,2026-03-14,VALIDATION,R001,Payment instruction failed validation,MEDIUM,RESOLVED,TEAM_SYN_001,USER_SYN_001_A04,RESOLVED,SYN_RESOLVED,2026-03-14T21:15:00,2026-03-15T03:15:00,TRUE,TRUE
EXC_SYN_0000056,PAY_SYN_0006109,CUST_SYN_000034,ACCT_SYN_001034,2026-03-10T18:06:00,2026-03-10,LIQUIDITY,R002,Insufficient synthetic available funds,HIGH,OPEN,TEAM_SYN_002,USER_SYN_002_A01,UNRESOLVED,,,2026-03-10T22:06:00,FALSE,TRUE
EXC_SYN_0000057,PAY_SYN_0003917,CUST_SYN_000930,ACCT_SYN_000930,2026-01-16T16:35:00,2026-01-16,ROUTING,R003,Beneficiary routing information requires correction,MEDIUM,RESOLVED,TEAM_SYN_003,USER_SYN_003_A02,RESOLVED,SYN_RESOLVED,2026-01-16T17:35:00,2026-01-17T00:35:00,TRUE,TRUE
EXC_SYN_0000058,PAY_SYN_0012375,CUST_SYN_000376,ACCT_SYN_000376,2026-02-04T14:34:00,2026-02-04,CUTOFF,R004,Payment missed the processing cutoff,LOW,RESOLVED,TEAM_SYN_004,USER_SYN_004_A03,RESOLVED,SYN_RESOLVED,2026-02-04T16:34:00,2026-02-04T22:34:00,TRUE,FALSE
EXC_SYN_0000059,PAY_SYN_0000224,CUST_SYN_000789,ACCT_SYN_000789,2026-01-27T13:10:00,2026-01-27,SANCTIONS_SCREENING,R005,Synthetic screening review pending,HIGH,RESOLVED,TEAM_SYN_005,USER_SYN_005_A04,RESOLVED,SYN_RESOLVED,2026-01-27T16:10:00,2026-01-27T17:10:00,FALSE,TRUE
EXC_SYN_0000060,PAY_SYN_0010205,CUST_SYN_000086,ACCT_SYN_001086,2026-02-11T14:50:00,2026-02-11,DUPLICATE,R006,Potential duplicate payment instruction,HIGH,OPEN,TEAM_SYN_001,USER_SYN_001_A01,UNRESOLVED,,,2026-02-11T18:50:00,TRUE,TRUE
EXC_SYN_0000061,PAY_SYN_0013808,CUST_SYN_000897,ACCT_SYN_000897,2026-03-05T18:24:00,2026-03-05,SYSTEM,R007,Processing system unavailable,MEDIUM,RESOLVED,TEAM_SYN_002,USER_SYN_002_A02,RESOLVED,SYN_RESOLVED,2026-03-05T20:24:00,2026-03-06T02:24:00,FALSE,FALSE
EXC_SYN_0000062,PAY_SYN_0007358,CUST_SYN_000747,ACCT_SYN_000747,2025-11-16T18:07:00,2025-11-16,AUTHORIZATION,R008,Required payment authorization incomplete,HIGH,RESOLVED,TEAM_SYN_003,USER_SYN_003_A03,RESOLVED,SYN_RESOLVED,2025-11-16T21:07:00,2025-11-16T22:07:00,TRUE,TRUE
EXC_SYN_0000063,PAY_SYN_0005481,CUST_SYN_000298,ACCT_SYN_000298,2026-02-16T11:21:00,2026-02-16,BENEFICIARY,R009,Beneficiary details require review,MEDIUM,RESOLVED,TEAM_SYN_004,USER_SYN_004_A04,RESOLVED,SYN_RESOLVED,2026-02-16T20:54:00,2026-02-16T19:21:00,FALSE,TRUE
EXC_SYN_0000064,PAY_SYN_0017447,CUST_SYN_000540,ACCT_SYN_000540,2026-02-27T17:36:00,2026-02-27,CURRENCY,R010,Currency handling exception,MEDIUM,OPEN,TEAM_SYN_005,USER_SYN_005_A01,UNRESOLVED,,,2026-02-28T01:36:00,TRUE,TRUE
EXC_SYN_0000065,PAY_SYN_0003428,CUST_SYN_000837,ACCT_SYN_000837,2025-12-30T19:16:00,2025-12-30,SETTLEMENT,R011,Settlement confirmation delayed,LOW,RESOLVED,TEAM_SYN_001,USER_SYN_001_A02,RESOLVED,SYN_RESOLVED,2025-12-30T22:16:00,2025-12-31T03:16:00,FALSE,FALSE
EXC_SYN_0000066,PAY_SYN_0007541,CUST_SYN_000018,ACCT_SYN_000018,2025-12-28T12:20:00,2025-12-28,VALIDATION,R001,Payment instruction failed validation,MEDIUM,RESOLVED,TEAM_SYN_002,USER_SYN_002_A03,RESOLVED,SYN_RESOLVED,2025-12-28T13:20:00,2025-12-28T20:20:00,FALSE,TRUE
EXC_SYN_0000067,PAY_SYN_0020120,CUST_SYN_000441,ACCT_SYN_000441,2025-12-25T11:06:00,2025-12-25,LIQUIDITY,R002,Insufficient synthetic available funds,HIGH,RESOLVED,TEAM_SYN_003,USER_SYN_003_A04,RESOLVED,SYN_RESOLVED,2025-12-25T13:06:00,2025-12-25T15:06:00,TRUE,TRUE
EXC_SYN_0000068,PAY_SYN_0017630,CUST_SYN_000311,ACCT_SYN_001311,2026-02-19T11:49:00,2026-02-19,ROUTING,R003,Beneficiary routing information requires correction,MEDIUM,OPEN,TEAM_SYN_004,USER_SYN_004_A01,UNRESOLVED,,,2026-02-19T19:49:00,FALSE,TRUE
EXC_SYN_0000069,PAY_SYN_0024173,CUST_SYN_000402,ACCT_SYN_000402,2026-03-06T14:23:00,2026-03-06,CUTOFF,R004,Payment missed the processing cutoff,LOW,RESOLVED,TEAM_SYN_005,USER_SYN_005_A02,RESOLVED,SYN_RESOLVED,2026-03-06T15:23:00,2026-03-06T22:23:00,FALSE,FALSE
EXC_SYN_0000070,PAY_SYN_0012995,CUST_SYN_000816,ACCT_SYN_000816,2026-01-14T16:30:00,2026-01-14,SANCTIONS_SCREENING,R005,Synthetic screening review pending,HIGH,RESOLVED,TEAM_SYN_001,USER_SYN_001_A03,RESOLVED,SYN_RESOLVED,2026-01-14T22:10:00,2026-01-14T20:30:00,FALSE,TRUE
EXC_SYN_0000071,PAY_SYN_0018925,CUST_SYN_000226,ACCT_SYN_001226,2026-01-02T17:33:00,2026-01-02,DUPLICATE,R006,Potential duplicate payment instruction,HIGH,RESOLVED,TEAM_SYN_002,USER_SYN_002_A04,RESOLVED,SYN_RESOLVED,2026-01-02T20:33:00,2026-01-02T21:33:00,FALSE,TRUE
EXC_SYN_0000072,PAY_SYN_0011356,CUST_SYN_000173,ACCT_SYN_000173,2026-02-14T18:43:00,2026-02-14,SYSTEM,R007,Processing system unavailable,MEDIUM,OPEN,TEAM_SYN_003,USER_SYN_003_A01,UNRESOLVED,,,2026-02-15T02:43:00,FALSE,FALSE
EXC_SYN_0000073,PAY_SYN_0017043,CUST_SYN_000592,ACCT_SYN_000592,2025-11-29T15:25:00,2025-11-29,AUTHORIZATION,R008,Required payment authorization incomplete,HIGH,RESOLVED,TEAM_SYN_004,USER_SYN_004_A02,RESOLVED,SYN_RESOLVED,2025-11-29T17:25:00,2025-11-29T19:25:00,FALSE,TRUE
EXC_SYN_0000074,PAY_SYN_0006078,CUST_SYN_000387,ACCT_SYN_001387,2026-01-18T20:23:00,2026-01-18,BENEFICIARY,R009,Beneficiary details require review,MEDIUM,RESOLVED,TEAM_SYN_005,USER_SYN_005_A03,RESOLVED,SYN_RESOLVED,2026-01-18T23:23:00,2026-01-19T04:23:00,TRUE,TRUE
EXC_SYN_0000075,PAY_SYN_0009476,CUST_SYN_000113,ACCT_SYN_001113,2026-02-15T19:02:00,2026-02-15,CURRENCY,R010,Currency handling exception,MEDIUM,RESOLVED,TEAM_SYN_001,USER_SYN_001_A04,RESOLVED,SYN_RESOLVED,2026-02-15T20:02:00,2026-02-16T03:02:00,FALSE,TRUE
EXC_SYN_0000076,PAY_SYN_0018581,CUST_SYN_000498,ACCT_SYN_000498,2025-12-07T14:30:00,2025-12-07,SETTLEMENT,R011,Settlement confirmation delayed,LOW,OPEN,TEAM_SYN_002,USER_SYN_002_A01,UNRESOLVED,,,2025-12-07T22:30:00,FALSE,FALSE
EXC_SYN_0000077,PAY_SYN_0015870,CUST_SYN_000691,ACCT_SYN_000691,2025-11-21T13:26:00,2025-11-21,VALIDATION,R001,Payment instruction failed validation,MEDIUM,RESOLVED,TEAM_SYN_003,USER_SYN_003_A02,RESOLVED,SYN_RESOLVED,2025-11-21T23:13:00,2025-11-21T21:26:00,FALSE,TRUE
EXC_SYN_0000078,PAY_SYN_0008176,CUST_SYN_000013,ACCT_SYN_001013,2026-03-13T20:01:00,2026-03-13,LIQUIDITY,R002,Insufficient synthetic available funds,HIGH,RESOLVED,TEAM_SYN_004,USER_SYN_004_A03,RESOLVED,SYN_RESOLVED,2026-03-13T21:01:00,2026-03-14T00:01:00,TRUE,TRUE
